date,open,high,low,close,volume,first_seen
2026-08-17,397.2600,399.3600,391.3100,392.4300,20042639,2026-08-30T16:03:09+00:00
2026-08-18,384.3150,385.7821,377.0100,380.0000,22878198,2026-08-30T16:03:09+00:00
2026-08-19,372.4000,373.9100,357.6101,362.4800,35091374,2026-08-30T16:03:09+00:00
2026-08-20,364.3900,367.1200,362.2501,364.0300,19729827,2026-08-30T16:03:09+00:00
2026-08-21,370.6900,375.1300,365.0500,368.4500,19037140,2026-08-30T16:03:09+00:00
2026-08-24,364.9650,366.1700,358.7100,358.7600,18717229,2026-08-30T16:03:09+00:00
2026-08-25,361.1000,362.9900,355.3100,356.7400,18014884,2026-08-30T16:03:09+00:00
2026-08-26,357.1200,359.4699,350.0600,355.5900,19196259,2026-08-30T16:03:09+00:00
2026-08-27,361.7900,371.7200,360.6100,371.5400,21329954,2026-08-30T16:03:09+00:00
2026-08-28,373.6000,376.5900,365.3513,368.7900,16596066,2026-08-30T16:03:09+00:00
