date,open,high,low,close,volume,first_seen
2026-08-17,106.3300,106.6375,103.4600,103.5000,7635031,2026-08-30T16:03:09+00:00
2026-08-18,104.1900,105.2100,103.6250,103.9500,6149934,2026-08-30T16:03:09+00:00
2026-08-19,104.0600,107.0600,103.9600,106.9300,8046144,2026-08-30T16:03:09+00:00
2026-08-20,106.8800,108.6900,106.4200,107.3200,7971488,2026-08-30T16:03:09+00:00
2026-08-21,107.5700,108.4100,106.9700,107.7800,6840800,2026-08-30T16:03:09+00:00
2026-08-24,108.3900,111.8700,108.0800,110.6100,12662633,2026-08-30T16:03:09+00:00
2026-08-25,110.5000,111.5950,109.7600,111.2500,6748597,2026-08-30T16:03:09+00:00
2026-08-26,111.3000,111.5200,109.4500,109.6300,8528613,2026-08-30T16:03:09+00:00
2026-08-27,108.7800,108.8700,106.7400,106.8200,8704359,2026-08-30T16:03:09+00:00
2026-08-28,107.2500,108.1950,107.0300,108.1000,5467425,2026-08-30T16:03:09+00:00
