date,open,high,low,close,volume,first_seen
2026-08-17,346.2650,347.2500,341.9300,344.0000,18291309,2026-08-30T16:03:09+00:00
2026-08-18,342.4050,344.8699,340.1900,344.2000,19248828,2026-08-30T16:03:09+00:00
2026-08-19,342.4550,346.7300,340.6600,344.7200,19733808,2026-08-30T16:03:09+00:00
2026-08-20,343.0600,343.9000,338.5651,340.6700,18570357,2026-08-30T16:03:09+00:00
2026-08-21,342.5750,346.2000,340.4000,344.8200,20849776,2026-08-30T16:03:09+00:00
2026-08-24,343.6150,351.6000,342.4900,348.0600,26338229,2026-08-30T16:03:09+00:00
2026-08-25,349.6400,350.1600,345.6000,346.9600,20649680,2026-08-30T16:03:09+00:00
2026-08-26,346.6200,346.8800,340.1800,342.0000,20420257,2026-08-30T16:03:09+00:00
2026-08-27,339.6700,341.6900,338.5200,340.6500,23391389,2026-08-30T16:03:09+00:00
2026-08-28,340.7050,349.1400,340.2700,346.5900,25347206,2026-08-30T16:03:09+00:00
