date,open,high,low,close,volume,first_seen
2026-08-17,490.1400,492.6600,478.4100,480.3500,29635848,2026-08-30T16:03:09+00:00
2026-08-18,481.5400,484.2700,477.1505,481.6300,24087591,2026-08-30T16:03:09+00:00
2026-08-19,480.0650,489.3000,479.3600,484.3100,19961871,2026-08-30T16:03:09+00:00
2026-08-20,483.3000,484.1600,479.5000,481.1500,20020822,2026-08-30T16:03:09+00:00
2026-08-21,479.8800,486.3600,478.5300,483.2400,22510774,2026-08-30T16:03:09+00:00
2026-08-24,483.2050,490.6050,481.8600,487.3100,17230751,2026-08-30T16:03:09+00:00
2026-08-25,485.4400,492.4350,484.3000,491.7100,19518987,2026-08-30T16:03:09+00:00
2026-08-26,487.8500,497.4000,487.3100,496.3700,20758853,2026-08-30T16:03:09+00:00
2026-08-27,494.8800,506.4800,490.0800,505.0600,28688756,2026-08-30T16:03:09+00:00
2026-08-28,505.3300,517.7800,504.8675,513.5300,29207325,2026-08-30T16:03:09+00:00
