date,open,high,low,close,volume,first_seen
2026-08-17,65.2200,66.0750,64.7800,64.8700,5602525,2026-08-30T16:03:09+00:00
2026-08-18,65.1800,65.3200,64.2650,64.7900,6047571,2026-08-30T16:03:09+00:00
2026-08-19,64.8400,64.9100,62.6350,62.8200,7788612,2026-08-30T16:03:09+00:00
2026-08-20,62.7000,63.0550,61.7700,61.7800,5713343,2026-08-30T16:03:09+00:00
2026-08-21,62.2300,62.4300,61.4601,62.0500,6375686,2026-08-30T16:03:09+00:00
2026-08-24,62.2800,62.9500,61.9800,62.4200,6360717,2026-08-30T16:03:09+00:00
2026-08-25,62.4400,62.4950,61.9900,62.4100,6311574,2026-08-30T16:03:09+00:00
2026-08-26,62.4500,63.1800,62.0950,62.8000,6780981,2026-08-30T16:03:09+00:00
2026-08-27,62.0000,62.5600,61.8100,62.4000,6128124,2026-08-30T16:03:09+00:00
2026-08-28,62.7600,62.9800,62.2500,62.4700,6256139,2026-08-30T16:03:09+00:00
