date,open,high,low,close,volume,first_seen
2026-08-17,112.5050,112.5700,110.6600,110.8200,3690038,2026-08-30T16:01:44+00:00
2026-08-18,110.8600,111.4550,110.4400,110.4800,3985179,2026-08-30T16:01:44+00:00
2026-08-19,110.4300,112.1600,110.2500,111.3200,3385807,2026-08-30T16:01:44+00:00
2026-08-20,111.1900,111.5350,110.3100,110.6800,3599116,2026-08-30T16:01:44+00:00
2026-08-21,111.0200,112.0200,110.7700,111.4000,5055547,2026-08-30T16:01:44+00:00
2026-08-24,111.4600,112.8100,111.4000,112.3200,4133544,2026-08-30T16:01:44+00:00
2026-08-25,112.4100,113.2750,112.2950,113.1800,2708308,2026-08-30T16:01:44+00:00
2026-08-26,113.8300,114.0000,112.4650,112.6100,3679731,2026-08-30T16:01:44+00:00
2026-08-27,112.0300,112.3700,111.3700,111.4100,4425760,2026-08-30T16:01:44+00:00
2026-08-28,111.8700,113.5300,111.8300,112.9900,3743489,2026-08-30T16:01:44+00:00
