date,open,high,low,close,volume,first_seen
2026-08-17,62.2150,62.6850,61.7850,62.5800,23550295,2026-08-30T16:01:44+00:00
2026-08-18,63.4100,63.7100,63.1150,63.6800,27280522,2026-08-30T16:01:44+00:00
2026-08-19,63.8500,64.2500,63.4000,63.5800,25537822,2026-08-30T16:01:44+00:00
2026-08-20,64.2500,64.7000,63.6900,63.7500,24304126,2026-08-30T16:01:44+00:00
2026-08-21,63.9050,64.3000,63.3500,63.6400,27798587,2026-08-30T16:01:44+00:00
2026-08-24,63.2400,63.7200,62.5600,63.1100,23010358,2026-08-30T16:01:44+00:00
2026-08-25,62.2000,62.7850,62.0400,62.0600,27426442,2026-08-30T16:01:44+00:00
2026-08-26,61.4300,63.0200,61.3100,62.4300,24398571,2026-08-30T16:01:44+00:00
2026-08-27,62.2300,62.7200,61.5500,62.2900,29603990,2026-08-30T16:01:44+00:00
2026-08-28,62.3500,62.7400,62.1180,62.6800,20624540,2026-08-30T16:01:44+00:00
