date,open,high,low,close,volume,first_seen
2026-08-17,186.3900,187.3900,186.1800,186.3200,5363153,2026-08-30T16:01:44+00:00
2026-08-18,185.2100,185.5750,183.5050,183.5700,4646776,2026-08-30T16:01:44+00:00
2026-08-19,184.2400,184.6200,181.7200,181.9500,8312134,2026-08-30T16:01:44+00:00
2026-08-20,181.0100,182.0300,179.5500,179.7700,6497823,2026-08-30T16:01:44+00:00
2026-08-21,180.9500,181.2400,179.7900,180.2500,5471243,2026-08-30T16:01:44+00:00
2026-08-24,180.0900,180.3000,178.3550,179.0000,5242909,2026-08-30T16:01:44+00:00
2026-08-25,180.7600,180.9600,178.1600,178.4000,6567070,2026-08-30T16:01:44+00:00
2026-08-26,178.9000,180.9000,178.9000,180.3400,8142608,2026-08-30T16:01:44+00:00
2026-08-27,180.4700,180.4900,178.1800,178.8000,5464909,2026-08-30T16:01:44+00:00
2026-08-28,179.4400,179.5200,176.6500,177.1400,8235619,2026-08-30T16:01:44+00:00
