date,open,high,low,close,volume,first_seen
2026-08-17,190.7900,191.7500,190.1050,190.3200,6099468,2026-08-30T16:01:44+00:00
2026-08-18,186.2900,187.5000,184.3300,185.6200,8436259,2026-08-30T16:01:44+00:00
2026-08-19,186.3900,186.9100,182.4100,183.6400,7310368,2026-08-30T16:01:44+00:00
2026-08-20,183.4700,184.7100,182.6600,183.1000,5012105,2026-08-30T16:01:44+00:00
2026-08-21,184.4200,184.5600,181.9000,183.3100,5781767,2026-08-30T16:01:44+00:00
2026-08-24,181.6800,181.8792,178.8150,180.0500,6544935,2026-08-30T16:01:44+00:00
2026-08-25,182.1100,183.0200,180.5900,181.7400,5364934,2026-08-30T16:01:44+00:00
2026-08-26,180.7100,183.3450,180.7100,182.8400,4671370,2026-08-30T16:01:44+00:00
2026-08-27,186.4700,188.7350,185.6700,188.6100,8139215,2026-08-30T16:01:44+00:00
2026-08-28,188.0700,188.6700,185.5100,185.6900,6302813,2026-08-30T16:01:44+00:00
