date,open,high,low,close,volume,first_seen
2026-08-17,44.2000,44.2500,43.8200,44.1800,16377519,2026-08-30T16:01:45+00:00
2026-08-18,44.5300,44.6501,43.9500,44.0200,19424744,2026-08-30T16:01:45+00:00
2026-08-19,44.2600,44.3800,43.8000,44.0200,15856392,2026-08-30T16:01:45+00:00
2026-08-20,43.8300,44.2600,43.7500,43.7700,17077438,2026-08-30T16:01:45+00:00
2026-08-21,43.9000,43.9600,42.7500,42.7700,22072959,2026-08-30T16:01:45+00:00
2026-08-24,42.8700,43.2600,42.7000,43.2200,20055688,2026-08-30T16:01:45+00:00
2026-08-25,43.2400,43.4800,43.0700,43.3100,13432139,2026-08-30T16:01:45+00:00
2026-08-26,43.3100,43.7050,43.2750,43.5100,12242436,2026-08-30T16:01:45+00:00
2026-08-27,43.2200,43.3300,42.9200,43.1800,16034681,2026-08-30T16:01:45+00:00
2026-08-28,43.3400,43.3800,42.5601,42.7300,20366675,2026-08-30T16:01:45+00:00
