date,open,high,low,close,volume,first_seen
2026-08-17,166.4500,167.8700,165.8600,167.0500,7225488,2026-08-30T16:01:45+00:00
2026-08-18,168.6700,170.3022,168.4500,169.7300,7529579,2026-08-30T16:01:45+00:00
2026-08-19,172.4700,176.5950,172.2900,175.6800,16538936,2026-08-30T16:01:45+00:00
2026-08-20,174.1900,175.1900,172.3400,172.3900,9673447,2026-08-30T16:01:45+00:00
2026-08-21,171.9100,175.6000,171.7900,174.6200,10172127,2026-08-30T16:01:45+00:00
2026-08-24,174.4100,174.9200,173.3300,174.7000,5931860,2026-08-30T16:01:45+00:00
2026-08-25,174.4500,175.8200,174.0400,175.2900,5434823,2026-08-30T16:01:45+00:00
2026-08-26,174.3250,174.8350,173.4500,173.5400,5619418,2026-08-30T16:01:45+00:00
2026-08-27,171.9500,173.1100,171.4300,171.5800,7110412,2026-08-30T16:01:45+00:00
2026-08-28,171.4300,171.7100,170.5850,171.1600,4911716,2026-08-30T16:01:45+00:00
