date,open,high,low,close,volume,first_seen
2026-08-17,117.9600,117.9600,116.4941,116.7500,6884914,2026-08-30T16:01:45+00:00
2026-08-18,116.7000,117.5800,116.0700,116.3600,5287015,2026-08-30T16:01:45+00:00
2026-08-19,116.9000,119.0600,116.7300,118.5900,7526407,2026-08-30T16:01:45+00:00
2026-08-20,117.0500,117.4000,116.3750,116.6800,5156014,2026-08-30T16:01:45+00:00
2026-08-21,117.4400,118.4300,116.7400,118.0200,6561410,2026-08-30T16:01:45+00:00
2026-08-24,118.3800,118.7900,118.0700,118.3000,4662421,2026-08-30T16:01:45+00:00
2026-08-25,118.4100,118.5700,117.7450,117.9500,4156401,2026-08-30T16:01:45+00:00
2026-08-26,117.6900,117.8400,116.7450,117.1600,3271701,2026-08-30T16:01:45+00:00
2026-08-27,116.5400,116.6200,115.8100,115.8800,5231609,2026-08-30T16:01:45+00:00
2026-08-28,116.7100,117.5700,116.3750,117.2100,4505756,2026-08-30T16:01:45+00:00
