date,open,high,low,close,volume,first_seen
2026-08-17,160.1000,162.5100,159.0906,161.4600,12858118,2026-08-30T16:03:09+00:00
2026-08-18,164.3500,165.6700,163.2540,165.5600,18952655,2026-08-30T16:03:09+00:00
2026-08-19,166.0650,168.2100,164.6600,164.7700,13648940,2026-08-30T16:03:09+00:00
2026-08-20,167.0200,168.6400,166.0700,166.1500,13803014,2026-08-30T16:03:09+00:00
2026-08-21,166.5400,168.0000,164.6100,165.1100,14314260,2026-08-30T16:03:09+00:00
2026-08-24,163.8700,165.2200,162.2500,164.0500,10843400,2026-08-30T16:03:09+00:00
2026-08-25,161.4500,162.8050,160.4600,160.6400,17525316,2026-08-30T16:03:09+00:00
2026-08-26,158.0000,161.1300,157.7600,158.1900,14847885,2026-08-30T16:03:09+00:00
2026-08-27,157.6250,158.1900,156.1400,156.4400,14297271,2026-08-30T16:03:09+00:00
2026-08-28,156.6000,157.4200,155.3200,156.7100,11362130,2026-08-30T16:03:09+00:00
